,Unnamed: 0,state,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,0,Alabama,397405,3558849,0.11166672145966301,178,673,0.264487369985141,,0.0,,0.0,,,,,,,,,,,,,,,,44.7905788804872,15.6574021238396
1,1,Alaska,70458,500570,0.14075553868589802,34,143,0.237762237762238,34.0,1.0,0.0,0.0,2.0,,,9.0,,,5.0,,,4.0,,,10.0,,4.0,48.2556984302705,25.342236440741
2,2,Arizona,532634,4843073,0.109978519836476,228,1060,0.215094339622642,,0.0,,0.0,,,,,,,,,,,,,,,,42.8061295373559,19.3019782903783
3,3,Arkansas,244016,2173244,0.112281915882432,89,422,0.210900473933649,87.0,0.9775280898876401,2.0,0.022471910112359997,,,10.0,,,,,,29.0,,,,16.0,,34.0,36.473018162743394,17.2607903264933
4,4,California,1963556,27365341,0.07175339053878399,723,3823,0.189118493329846,705.0,0.9751037344398341,18.0,0.024896265560166,24.0,,,,,98.0,,,,,,268.0,,,333.0,36.820951375973,12.203866775504197
5,5,Colorado,395350,3762991,0.10506270145211599,211,941,0.22422954303932,202.0,0.957345971563981,9.0,0.042654028436019,7.0,,,19.0,,,32.0,,,38.0,,,40.0,,75.0,53.3704312634375,21.6768948946755
6,6,Connecticut,222632,2703644,0.082345160827387,31,316,0.09810126582278501,,0.0,,0.0,,,,,,,,,,,,,,,,13.9243235473786,11.4872479455964
7,7,Delaware,77232,673811,0.114619678218373,17,107,0.15887850467289702,17.0,1.0,0.0,0.0,0.0,,,3.0,,,1.0,,,2.0,,,5.0,,6.0,22.0116014087425,15.086015431317598
8,8,Florida*,1591864,14412206,0.11045248728751199,658,2858,0.230230930720784,,0.0,,0.0,,,,,,,,,,,,,,,,41.3351894382937,17.160228642886402
9,9,Georgia,693809,7166761,0.09680928385919399,244,1134,0.215167548500882,,0.0,,0.0,9.0,,,25.0,,,27.0,,,41.0,,,56.0,,86.0,35.1681802916941,13.7495226289334
10,10,Hawaii,106310,958760,0.110882806958989,25,175,0.14285714285714302,,0.0,,0.0,,,,,,,,,,,,,,,,23.5161320665977,17.596339961288102
11,11,Idaho,122552,1121706,0.109255009779746,66,304,0.217105263157895,60.0,0.9090909090909091,6.0,0.09090909090909101,1.0,,,5.0,,,,,25.0,,,,13.0,,22.0,53.854690253933,23.8201518484638
12,12,Illinois,772410,9716887,0.079491507928414,199,1177,0.16907391673746802,,0.0,,0.0,9.0,,,8.0,,,21.0,,,35.0,,,41.0,,85.0,25.763519374425503,10.9341216931968
13,13,Indiana,471717,4830620,0.09765144018780197,150,828,0.18115942028985502,148.0,0.986666666666667,2.0,0.013333333333333,,9.0,,,12.0,,,23.0,,,37.0,,,67.0,,31.798726778979802,15.5543722812827
14,14,Iowa,234659,2296177,0.10219551889945801,71,361,0.19667590027700801,,0.0,,0.0,,,,,,,,,,,,,,,,30.256670317354104,14.0673038023437
15,15,Kansas,218993,2099260,0.104319141030649,93,382,0.243455497382199,90.0,0.967741935483871,3.0,0.032258064516129,4.0,,,15.0,,,17.0,,,8.0,,,15.0,,34.0,42.4671108208938,15.3701575361372
16,16,Kentucky,319199,3275369,0.09745436315725,104,592,0.175675675675676,,0.0,,0.0,,,,,,,,,,,,,,,,32.5815557066282,16.507846301126097
17,17,Louisiana,315813,3351308,0.09423574317848402,92,490,0.18775510204081602,,0.0,,0.0,,4.0,,,16.0,,,14.0,,,13.0,,,47.0,,29.1311630616852,13.1115353509065
18,18,Maine,132238,1043178,0.12676455983542598,45,197,0.22842639593908604,,0.0,,0.0,,,,,,,,,,,,,,,,34.029552776055304,16.6860605528355
19,19,Maryland,438707,4313424,0.10170736751128599,97,551,0.176043557168784,,0.0,,0.0,6.0,,,7.0,,,7.0,,,14.0,,,19.0,,44.0,22.110429056295,11.7169847501121
20,20,Massachusetts,414595,5153924,0.080442590926836,48,530,0.09056603773584901,46.0,0.958333333333333,2.0,0.041666666666667,0.0,,,2.0,,,6.0,,,4.0,,,15.0,,21.0,11.5775636464502,10.1702160791116
21,21,Michigan,706848,7614974,0.092823429206718,232,1169,0.198460222412318,227.0,0.9784482758620692,5.0,0.021551724137931,1.0,,,11.0,,,29.0,,,37.0,,,48.0,,106.0,32.821766490108196,13.5637363881319
22,22,Minnesota,381202,4004268,0.095198922749426,106,584,0.18150684931506797,103.0,0.9716981132075471,3.0,0.028301886792453,4.0,,,11.0,,,8.0,,,21.0,,,26.0,,36.0,27.8067796076621,13.193245720613401
23,23,Mississippi,203152,2171630,0.093548164282129,77,381,0.202099737532808,73.0,0.9480519480519479,4.0,0.051948051948052,3.0,,,4.0,,,9.0,,,11.0,,,12.0,,38.0,37.9026541702764,15.4434034822843
24,24,Missouri***,498159,4536263,0.10981704544026699,180,860,0.209302325581395,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,36.133041860129,16.8395861027849
25,25,Montana,96661,749212,0.129016887076021,48,219,0.219178082191781,47.0,0.979166666666667,1.0,0.020833333333333,1.0,,,,,7.0,,,,,,25.0,,,15.0,49.6580834048893,26.2048483566802
26,26,Nebraska,147275,1342732,0.109683093871301,30,170,0.17647058823529396,,0.0,,0.0,,,,,,,,,,,,,,,,20.370056017654,11.7110025705651
27,27,Nevada,218908,1947160,0.112424248649315,118,505,0.23366336633663398,,0.0,,0.0,1.0,,,5.0,,,13.0,,,19.0,,,23.0,,57.0,53.903923109251394,22.392567750536397
28,28,New Hampshire,114796,1034119,0.111008500955886,28,166,0.168674698795181,27.0,0.9642857142857142,1.0,0.035714285714286004,,,,,,,,,,,,,,,,24.3910937663333,15.0110461720201
29,29,New Jersey,464094,6646834,0.06982181291123,81,557,0.145421903052065,80.0,0.987654320987654,1.0,0.012345679012346,4.0,,,6.0,,,7.0,,,15.0,,,20.0,,29.0,17.453360741573903,7.6988519653098795
30,30,New Mexico,168545,1484782,0.11351498065035799,85,376,0.226063829787234,80.0,0.941176470588235,5.0,0.058823529411765,3.0,,,7.0,,,10.0,,,15.0,,,26.0,,24.0,50.4316354682726,22.1084804636247
31,31,New York,994358,15092255,0.065885316674016,192,1417,0.135497529992943,191.0,0.994791666666667,1.0,0.005208333333333,5.0,,,2.0,,,2.0,,,7.0,,,47.0,,129.0,19.308941045378,8.689239253202091
32,32,North Carolina,731015,6996408,0.10448432967316901,249,1174,0.21209540034071603,240.0,0.9638554216867471,9.0,0.036144578313253004,8.0,,,20.0,,,22.0,,,51.0,,,50.0,,98.0,34.0622285452419,14.763638928954698
33,33,North Dakota**,52159,498949,0.10453773832596099,14,90,0.155555555555556,13.0,0.9285714285714292,1.0,0.071428571428571,0.0,,,0.0,,,0.0,,,3.0,,,5.0,,5.0,26.8410053873732,17.010228518991
34,34,Ohio,897333,8813009,0.10181914031858999,243,1176,0.206632653061224,237.0,0.9753086419753091,6.0,0.024691358024691003,7.0,,,18.0,,,25.0,,,43.0,,,52.0,,98.0,27.0802478009836,11.786738113080899
35,35,Oklahoma,313711,2741064,0.11444862287053502,122,567,0.215167548500882,,0.0,,0.0,3.0,,,6.0,,,22.0,,,19.0,,,33.0,,39.0,38.889296199368204,18.3327270487646
36,36,Oregon,343557,2948094,0.116535293650745,145,644,0.22515527950310602,135.0,0.931034482758621,10.0,0.06896551724137899,2.0,,,7.0,,,17.0,,,21.0,,,37.0,,61.0,42.2055146598672,19.1588754546393
37,37,Pennsylvania,988006,9817894,0.10063319078409301,292,1631,0.17903126916002401,289.0,0.9897260273972601,3.0,0.01027397260274,9.0,,,13.0,,,28.0,,,41.0,,,60.0,,141.0,29.5544763898195,15.1644052563294
38,38,Rhode Island,75328,822465,0.091588091894488,22,118,0.18644067796610198,,0.0,,0.0,,,,,,,,,,,,,,,,29.2056074766355,12.8490491034442
39,39,South Carolina,385544,3441651,0.112022979668769,143,619,0.23101777059773798,142.0,0.9930069930069929,1.0,0.006993006993007,4.0,,,15.0,,,10.0,,,25.0,,,34.0,,45.0,37.0904488203681,15.575370888519302
40,40,South Dakota,68313,609906,0.112005784497939,33,129,0.255813953488372,,0.0,,0.0,,,,,,,,,,,,,,,,48.3070572219051,17.725487589389104
41,41,Tennessee,502280,4782812,0.10501771761047698,196,947,0.206969376979937,193.0,0.9846938775510201,3.0,0.015306122448980001,5.0,,,15.0,,,18.0,,,35.0,,,41.0,,82.0,39.0220594090945,17.544548201018
42,42,Texas,1581873,17785992,0.08893926186405599,492,2809,0.175151299394802,474.0,0.963414634146341,18.0,0.036585365853658,,54.0,,,36.0,,,66.0,,,99.0,,,236.0,,31.102370417852804,14.298833524982099
